过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x5600d0663ef780ae4ef9002dd07c464cb38a4c5d,9,10,2018/6/25,2017/8/28,352.105,37
0x2144936aec196cb37f4819474d3d229f74584f18,9,10,2019/6/12,2018/8/5,13160.5,415
0xa4352080e820a49b8aec48c62089286dcb8ed6c2,9,15,2018/6/26,2017/11/18,19.9957,30
0x0ae7e25d4334e6a5cd82d540bb326492d7ed34cf,9,9,2020/10/24,2019/6/27,21.383,35
0x4a1d77dc6f1d88fa51ef148af993bb6251fd09e0,9,10,2018/6/24,2017/8/28,86.64,20
0x03fca9d27e0557870f5995cc80867e5ddd073d97,9,10,2018/6/26,2017/6/27,1008.06,95
0x00e7875a11e9400c0803455d2787eb42756fe6d7,9,9,2021/3/8,2019/6/15,23.248,1318
0xd06e4dabaaf159e7dfb2fa52474e5649294d13a9,9,18,2018/6/26,2017/6/28,2275.22,72
0x2f5d76123398fd21fac5e22dc752de84a46cc3c0,8,29,2018/6/26,2017/12/25,447.91,102
0x7fd307b1eabca6154a25f57b762cc029dc38258f,8,10,2018/6/25,2018/1/5,179.901,20
0xf3c4ed05cb0a9ee740ffa96b9223ed3d8a07583d,8,11,2018/6/24,2017/9/3,2055.87,37
0x276af10e91ea2a180ceaee85a58debd5492cde14,8,8,2019/5/30,2018/8/22,300.962,43
0x8ff7509c116cb55cb850b060ac451b0ef0a7c67b,8,12,2018/6/26,2017/11/25,209.418,33
0xc7faca4ce003dca0c106808fdb11324d786625ac,8,9,2019/4/8,2018/3/6,11.439,20
0xf764cfa4094f39074b747e3191fd48f2b033b97c,8,13,2018/6/25,2017/6/19,672.575,97
0xe352aa765f4074925b5c6d74b8c477b5af112228,8,9,2019/4/25,2018/9/18,81.89,39
0x01cb7aeddf70d6749e576cf661a4d77c4e692030,8,28,2018/6/26,2017/8/9,1369.32,212
0x44e0600c9d27f564308a351c22a7eb58f5414218,8,10,2018/6/23,2017/7/8,631.356,63
0x96de2563721cd7ce03a3c5ea93154dd5dadcda27,8,13,2018/6/26,2017/6/13,1063.05,36
0x7377cf1b16fb8c097d8f779f685f32c82a2cb58c,8,8,2018/6/24,2018/1/22,4.335,21
0xc9e8ec27d295fa52e821d387d3ee5b8d8fdcbb7c,8,14,2018/6/26,2018/1/18,536.02,386
0x6d88fcbaebec8569cae69fd14f5a52d9ba52e6fd,8,12,2018/6/23,2017/11/5,30.3903,151
0x7022150abd85136f06f1c9499dfe2b1fc542e941,8,9,2018/6/23,2017/12/28,73.02,27
