过渡地址,转币天数,转币次数,最后一次交易时间,第一次交易时间,转币金额,总交易次数
0x3dbbce4876a4923dfb96147c3a246a59db5b1da5,5,7,2018/9/12,2018/8/21,563.965,13
0xdba7fe6cc4299523c86827375f7a4d017a15be2c,5,5,2019/1/13,2018/12/9,59.7385,10
0x202b3a8a2dc0dd4f4697bfbdb0b44733da4fd217,5,7,2020/8/25,2019/9/13,1232.14,11
0x9c81dad2bfde156aeeb9128579ce62bf9bb37ef8,5,17,2019/5/3,2018/8/25,635.687,82
0x75c9dc0761e8cae8e2eee6c1f19ac6f60ec22b35,5,8,2019/2/18,2019/1/17,1481.12,17
0x2eaea644a6a8a77609ed3ccbb7b3b7f750e19627,5,6,2019/6/12,2018/10/14,55.2066,811
0x2d1faf844ef60f5ab0b74fc834b255e5b26e8f3c,5,23,2019/12/18,2019/12/10,303.555,92
0x941cbf2d2744c28de7e4c4b1318cc207e7a220dd,5,6,2019/5/8,2018/9/3,20.3677,13
0x8c88bf2a58459238bc3b4f63d3ddb291cb06890f,4,4,2019/4/25,2019/1/28,129.015,68
0xb32759bb3de48bb9eeaa561a2be98a3c37469f5f,4,4,2018/11/25,2018/8/14,74.98,95
0xf53508c5fbbadfeee2ac9fb5ecf4fbc71b7d360f,4,4,2018/12/26,2018/11/25,9.96959,10
0x1181a1b98db98a9eb0dcff5e94552384bbc2e1a8,4,4,2020/8/7,2019/7/8,9.88,47
0x5b81ba790a5000e7d7cbf009b2569a3a5b4d344b,4,5,2018/12/31,2018/9/28,159.21,28
0x5719353ad39aedd247111ad0d58d293b8d282557,4,5,2019/5/9,2018/11/20,691.294,34
0x414ef2aa63ddf2778009bb82546cafeb6d4c551f,4,4,2018/12/22,2018/11/23,19.872,17
0x61422cbb68cd68382adfc1338a5bc85374ae2b7b,4,4,2019/3/29,2018/9/28,64.08,38
0xdeb70467b2cd74d738b6f9d3660449e20bf4e476,4,5,2019/7/5,2018/10/17,151.806,10
0x0a6fafe2472bf8f0ced5a1763c25546a125a41e6,4,7,2019/6/7,2018/11/19,75.2002,21
0x055aa796f55d0d3d4e865465791ffa6c56ee63bd,4,4,2020/12/14,2019/6/25,6.31795,18
0x2acb219b8e73fa1084b0d1f9f69ad708a88258b6,4,4,2019/12/30,2019/11/28,19.1419,153
