huobi -> bithumb
                    to1                     | date_count |            amount            | is_contract 
 0x001d395a144cc31a6cf0d00372a65b79e64463b2 |        133 |   5354890.56700000000000000000 | 0
 0x11c5d96ea17d1041dd066139dfdd23f7df146633 |        115 |      78540156.9030000000000000 | 0
 0x002d91c86d026319ba0d159c84ffea03bc00adf9 |         97 |      21986591.2000000000000000 | 0
 0x43f746d88396de6547be1df0a2f3fc6c9ebe1fb5 |         74 |    396032.82909500000000000000 | 0
 0xd6e1e7385ad23732feb6675b0d6828165a11afbd |         72 |       2217564.6431476800000000 | 0
 0x349627ba8b2db20e9f569e5dde327dbf4339a7da |         63 |       9070701.4838846300000000 | 0
 0x268a6efe34c0357df995fd6a46368834d9ec361d |         62 |    188049.30000000000000000000 | 0
 0xd0af9cd3e881cf79d5033f86704e3080e901044c |         56 |       7788237.3800000000000000 | 0
 0x25c6438c610af1a01dd8e5802ee53fa0f7a715ef |         51 |         23893.7190000000000000 | 0
 0x09afb936bfdf58179b91f8c07fbe8df082145077 |         47 |        313862.6380000000000000 | 0
 0x2a023b4045aa6770e76936f77816742b2ed074a4 |         45 |   4127808.57300000000000000000 | 0
 0x388cc3c82df96746bb0aa9c8119611d720e0c97d |         44 |      1041.21078756000000000000 | 0
 0x12d34d7a2a7e0d84811aa98ef950d8a55224c3e7 |         43 |       1868882.4108000000000000 | 0
 0x29b012bfe15eb0951bea51cf543e32bd7c8376c5 |         42 |   3289153.48000000000000000000 | 0
 
 binance -> upbit
                     to1                     | date_count |             amount             | is_contract 
--------------------------------------------+------------+--------------------------------+-------------
 0x0681d8db095565fe8a346fa0277bffde9c0edbbf |        685 |  18835192.20000000000000000000 | 0
 0xaaf574778018fdd972ab22f407ec07093f04b0a4 |        209 | 535269369.70075335000000000000 | 0
 0x3bef3ba047ba945ac67c9a2a1afe403935299178 |        173 | 101450594.34090000000000000000 | 0
 0x07faaafa82a6617f2567c0e3bcec44d0057d3564 |        133 |      32636930.7030571700000000 | 0
 0x7bf1a5d764fe890f3ddf875d4ffb0a332f37bf1e |        122 |     162584666.8269055200000000 | 0
 0x1bd53f6b54c1fd9d3a4342d133bcfc8ec7f284c6 |        122 |  13278010.28000000000000000000 | 0
 0x27df33d544d73bef1132a7b09e8e3fee4e957311 |        121 |      12752684.1192000000000000 | 0
 0xcac4f842be3488cd87a819f68287bf773f0b3234 |        105 |      19965062.0000000000000000 | 0
 0x399ffb0e95e16984f4bb54b9ace6498a5fc91d10 |         95 |      30435588.5600000000000000 | 0
 0xf115a2ec837f43c8f65c76de2e829c2105e747de |         90 |    198537.29378005000000000000 | 0
 0x63555aba9f82c557a99cda40716bfc4db24e14b6 |         86 |   6471324.05066388000000000000 | 0
 0x3974f20da0d7d6f98b5d6b716347d5e2dc182cf6 |         76 |      2973.01076846000000000000 | 0
 0x796d41eeb2a12668fd6330edaf81a34365f94e96 |         72 |       7429015.4332240000000000 | 0
 0xcb2742d0b23099cd8a483c20114501594e5595f4 |         68 |      19193774.7015266000000000 | 0
 0xacdfcee4dc8a8824a2d50ffb4064fa6bb5f425c7 |         67 |      34209323.6744038400000000 | 0
 0x899af28074ca44d4e41749c97dab08c2f133f9c5 |         65 |      10403209.6904845200000000 | 0
 0x897ae1ca3d62ad578dc4e9eb912e2c1c8e6a46c5 |         61 |        892655.7600000000000000 | 0
 0x31af15e939bfa99a476056545e297369cf61c171 |         57 |   1818117.99980560000000000000 | 0
 0x6c1de48c5dd76fcaa0092124031e2d7b8f620420 |         54 |       675.89438665000000000000 | 0
 0xcf5f93ddeb557cc37ff74b7d738a8adb92d561b8 |         53 |     36067.54490700000000000000 | 0
 0x0b63e4ef3741d422fcaad6ac733afa1e306af596 |         50 |       1724465.7000000000000000 | 0
 0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be |         49 |   2177327.72492383247031920000 | 0
 0xf87be85a62fa4e43b5ac6558514e12877ad60cc2 |         46 |         19876.8313756800000000 | 0
 0xc33310f127fc5d6fc29b6452ea72ced28982ef3d |         36 |        768124.4900000000000000 | 0
 0x2aace4605e44500c0c9fc7074a4d8d095a746357 |         34 |        712466.2311375600000000 | 0
