Tue Jun 29 17:50:58 2021    profile.out

         889378 function calls (833697 primitive calls) in 55.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.013    0.000   26.327    0.612 __init__.py:1(<module>)
      229    0.013    0.000    0.019    0.000 inspect.py:73(isclass)
       98    0.013    0.000    2.555    0.026 __init__.py:2032(find_on_path)
      451    0.013    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      495    0.013    0.000    0.013    0.000 {method 'items' of 'dict' objects}
       98    0.013    0.000    0.034    0.000 posixpath.py:64(isabs)
      189    0.013    0.000    0.019    0.000 __init__.py:422(<genexpr>)
   131/65    0.013    0.000    0.261    0.004 pyparsing.py:3365(<listcomp>)
      290    0.013    0.000    0.047    0.000 version.py:74(__lt__)
      451    0.013    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:669(create_module)
      449    0.013    0.000    0.013    0.000 _weakrefset.py:70(__contains__)
      569    0.013    0.000    0.013    0.000 typing.py:1096(__hash__)
      362    0.013    0.000    0.013    0.000 {method 'zfill' of 'str' objects}
       84    0.013    0.000    0.038    0.000 __init__.py:670(add)
       52    0.012    0.000    0.022    0.000 enum.py:419(_get_mixins_)
       13    0.012    0.001    0.053    0.004 enum.py:857(<listcomp>)
       42    0.012    0.000    0.021    0.000 __init__.py:2891(<listcomp>)
      224    0.012    0.000    0.020    0.000 expressions.py:307(__hash__)
       32    0.012    0.000    0.027    0.001 functional.py:43(inner)
       92    0.012    0.000    0.045    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      198    0.012    0.000    0.119    0.001 _signatures.py:774(_num_required_args)
      147    0.012    0.000    0.187    0.001 expressions.py:388(_uncached_match)
       82    0.012    0.000    0.024    0.000 pyparsing.py:3719(__init__)
       96    0.012    0.000    0.033    0.000 der.py:117(encode_number)
      197    0.012    0.000   11.098    0.056 re.py:231(compile)
   131/65    0.012    0.000    0.328    0.005 pyparsing.py:3363(copy)
        3    0.011    0.004    0.015    0.005 tokenize.py:137(_all_string_prefixes)
       14    0.011    0.001    0.358    0.026 enum.py:366(_create_)
      468    0.011    0.000    0.011    0.000 pyparsing.py:2153(__str__)
      125    0.011    0.000    0.011    0.000 {method '__subclasses__' of 'type' objects}
      335    0.011    0.000    0.011    0.000 pyparsing.py:1144(__init__)
      415    0.011    0.000    0.014    0.000 serializable.py:357(_get_class_namespace)
      389    0.011    0.000    0.037    0.000 serializable.py:450(<genexpr>)
